発生年,発生月,熊本市,菊池市,阿蘇,鹿本,菊池,上益城,下益城,宇土,飽託,玉名,八代,葦北,球磨
1898,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,4,0,0,0,0,0,0,0,0,0,0,0,0,0
,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,6,0,0,0,0,0,0,0,0,0,0,0,0,0
,7,0,0,0,0,0,0,0,0,0,0,0,0,0
,8,0,0,0,0,0,0,0,0,0,0,0,0,0
,9,0,0,0,0,0,0,0,0,0,0,0,0,0
,10,0,0,0,0,0,0,0,0,0,0,0,0,0
,11,0,0,0,0,0,0,0,0,0,0,0,0,0
,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1899,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,4,0,0,0,0,0,0,0,0,0,0,0,0,0
,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,6,0,0,0,0,0,0,0,0,0,0,0,0,0
,7,0,0,0,0,0,0,0,0,0,0,0,0,0
,8,0,0,0,0,0,0,0,0,0,0,0,0,0
,9,0,0,0,0,0,0,0,0,0,0,0,0,0
,10,0,0,0,0,0,0,0,0,0,0,0,0,0
,11,0,0,0,0,0,0,0,0,0,0,0,0,0
,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,0,0,0,2,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,4,1,0,6,0,0,0,0,0,0,0,0,0,0
,5,0,0,2,0,1,0,0,0,0,0,0,0,0
,6,0,0,1,0,0,3,0,0,0,0,0,0,0
,7,0,0,0,0,0,1,0,0,0,0,0,0,0
,8,0,0,0,2,0,5,0,0,0,0,0,0,0
,9,0,0,3,0,0,10,1,11,0,0,0,0,0
,10,0,0,2,0,2,1,1,7,1,0,0,0,0
,11,0,0,0,0,0,0,2,0,0,1,0,0,0
,12,0,0,0,0,0,0,1,2,0,0,0,0,0
1901,1,0,0,0,0,0,0,2,0,0,0,2,0,0
,2,1,0,0,0,0,0,0,1,0,0,0,0,0
,3,0,0,1,0,0,0,1,3,0,0,1,0,0
,4,0,0,0,1,0,0,0,0,1,0,0,0,0
,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,6,0,0,3,3,0,0,0,0,0,0,0,0,0
,7,0,0,0,0,0,1,0,0,0,0,0,0,0
,8,0,0,0,0,0,0,0,0,0,0,0,0,0
,9,0,0,0,0,0,0,0,0,0,0,0,0,0
,10,0,0,0,1,0,0,0,1,0,0,0,0,0
,11,0,0,0,0,0,0,0,0,1,0,0,0,0
,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1902,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,4,0,0,0,0,0,0,0,0,0,0,0,0,0
,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,6,1,0,1,0,0,0,0,0,0,0,0,0,0
,7,0,0,1,0,0,0,0,0,0,1,0,0,0
,8,0,0,0,0,0,0,0,0,0,0,0,0,0
,9,0,0,0,0,0,0,0,0,0,0,0,0,0
,10,0,0,0,0,0,0,0,0,0,0,0,0,0
,11,0,0,0,0,0,0,0,0,0,0,0,0,0
,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1912,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0,0,0,0,0,0,0
