発生年,発生月,薩摩,姶良,伊佐,出水,曽於,肝属,鹿児島市,揖宿,日置,南那珂
1898,1,0,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0,0,0,0
,4,0,0,0,0,0,0,0,0,0,0
,5,0,0,0,0,0,0,0,0,0,0
,6,0,0,0,0,0,0,0,0,0,0
,7,0,0,0,0,0,0,0,0,0,0
,8,0,0,0,0,0,0,0,0,0,0
,9,0,0,0,0,0,0,0,0,0,0
,10,0,0,0,0,0,0,0,0,0,0
,11,0,0,0,0,0,0,0,0,0,0
,12,0,0,0,0,0,0,0,0,0,0
1899,1,0,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0,0,0,0
,4,0,0,0,0,0,0,0,0,0,0
,5,0,0,0,0,0,0,0,0,0,0
,6,0,0,0,0,0,0,0,0,0,0
,7,0,0,0,0,0,0,0,0,0,0
,8,0,0,0,0,0,0,0,0,0,0
,9,0,0,0,0,0,0,0,0,0,0
,10,0,0,0,0,0,0,0,0,0,0
,11,0,0,0,0,0,0,0,0,0,0
,12,0,0,0,0,0,0,0,0,0,0
1900,1,0,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0,0,0,0
,4,0,0,0,0,0,0,0,0,0,0
,5,0,0,0,0,0,0,0,0,0,0
,6,0,0,0,0,0,0,0,0,0,0
,7,0,0,0,0,0,0,0,0,0,0
,8,0,0,0,0,0,0,0,0,0,0
,9,0,0,0,0,0,0,0,0,0,0
,10,0,0,0,0,0,0,0,0,0,0
,11,0,0,0,0,0,0,0,0,0,0
,12,0,0,0,0,0,0,0,0,0,0
1901,1,0,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0,0,0,0
,4,0,0,0,0,0,0,0,0,0,0
,5,0,0,0,0,0,0,0,0,0,0
,6,0,0,0,0,0,0,0,0,0,0
,7,0,0,0,0,0,0,0,0,0,0
,8,0,0,0,0,0,0,0,0,0,0
,9,0,0,0,0,0,0,0,0,0,0
,10,0,0,0,0,0,0,0,0,0,0
,11,0,0,0,0,0,0,0,0,0,0
,12,0,0,0,0,0,0,0,0,0,0
1902,1,0,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0,0,0,0
,4,0,0,0,0,0,0,0,0,0,0
,5,0,0,0,0,0,0,0,0,0,0
,6,0,0,0,0,0,0,0,0,0,0
,7,0,0,0,0,0,0,0,0,0,0
,8,0,0,0,0,0,0,0,0,0,0
,9,0,0,0,0,0,0,0,0,0,0
,10,0,0,0,0,0,0,0,0,0,0
,11,0,0,0,0,0,0,0,0,0,0
,12,0,0,0,0,0,0,0,0,0,0
1912,1,0,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0,0,0,0
,4,0,0,0,0,0,0,0,0,0,0
,5,0,0,0,0,0,0,0,0,0,0
,6,0,0,0,0,0,0,0,0,0,0
,7,0,0,0,0,0,0,0,0,0,0
,8,0,0,0,0,0,0,0,0,0,0
,9,0,0,0,0,0,0,0,0,0,0
,10,0,0,0,0,0,0,0,0,0,0
,11,0,0,0,0,0,0,0,0,0,0
,12,0,0,0,0,0,0,0,0,0,0
1913,1,0,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0,0,0,0
,4,0,0,0,0,0,0,0,0,0,0
,5,0,0,0,0,0,0,0,0,0,0
,6,0,0,0,0,0,0,0,0,0,0
,7,0,0,0,0,0,0,0,0,0,0
,8,3,0,0,0,0,0,0,0,0,0
,9,5,0,0,0,0,0,0,0,0,0
,10,0,0,0,0,0,0,0,0,0,0
,11,0,2,1,0,0,0,0,0,0,0
,12,0,0,7,0,0,0,0,0,0,0
1914,1,0,1,11,0,0,0,0,0,0,0
,2,0,1,1,0,0,0,0,0,0,0
,3,0,2,3,0,0,0,0,0,0,0
,4,2,3,0,0,1,0,0,0,1,0
,5,1,1,0,0,3,7,0,0,2,0
,6,1,4,0,1,1,4,0,0,0,0
,7,4,2,0,0,0,0,0,0,0,0
,8,1,3,0,0,0,1,0,0,0,0
,9,0,0,0,0,2,1,0,0,0,0
,10,0,1,0,0,0,0,0,0,0,0
,11,1,0,0,0,0,1,0,0,0,0
,12,0,1,0,0,0,4,0,0,0,0
1915,1,0,2,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0,0,0,0
,4,0,0,0,0,1,0,0,0,0,0
,5,0,0,0,0,0,0,1,0,0,0
,6,0,0,0,0,0,0,2,0,0,0
,7,0,0,0,0,0,1,2,0,0,0
,8,0,0,0,0,0,0,2,0,0,0
,9,0,0,0,0,0,0,0,0,0,0
,10,1,0,0,0,1,0,1,0,0,0
,11,0,1,0,0,0,0,1,0,0,0
,12,0,0,0,0,0,0,0,0,0,0
1916,1,0,2,0,0,1,0,0,0,0,0
,2,0,0,0,0,0,0,0,0,0,2
,3,0,0,0,0,0,0,0,0,0,0
,4,0,0,0,0,0,0,0,0,0,0
,5,0,0,0,0,0,0,0,0,0,0
,6,0,0,0,0,0,0,0,0,0,0
,7,0,0,0,0,0,0,0,0,0,0
,8,0,0,0,0,0,0,0,0,0,0
,9,0,0,0,0,0,0,0,0,0,0
,10,0,0,0,0,0,0,0,0,0,0
,11,0,0,0,0,0,0,0,0,0,0
,12,0,0,0,0,0,0,0,0,0,0
